Facility Type,Borough,Facility Name,Cross Streets,Phone,LATITUDE,LONGITUDE
Child Health Center,Bronx,Daniel Webster Houses Child Health Clinic,corner of Webster Ave.,718-538-2147,40.83227985,-73.9095346
Child Health Center,Manhattan,Metropolitan Hospital Center,,212-423-6262,40.78455702,-73.94379565
Child Health Center,Queens,Springfield Gardens Medical Center,,718-883-6800,40.66971118,-73.75087393
Child Health Center,Brooklyn,Sumner Avenue Houses Child Health Clinic,between Myrtle Ave. & Park Ave.,718-455-3884,40.69785529,-73.94100661
Child Health Center,Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,40.74967822,-73.85304069
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,40.6719625,-73.89520529
Child Health Center,Bronx,Health Center at Tremont,corner of 175th St.,718-918-8700,40.84400021,-73.89454872
Child Health Center,Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,40.71636702,-73.98013566
Child Health Center,Brooklyn,Coney Island Hospital,,718-616-3000,40.58664543,-73.96583012
Child Health Center,Bronx,North Central Bronx Hospital,,718-519-5000,40.88046337,-73.88159288
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,40.6719625,-73.89520529
Child Health Center,Bronx,Gunhill Health Center,between Paulding Ave. & Hone Ave.,718-918-8850,40.87462601,-73.85788742
Child Health Center,Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,40.69473843,-73.91922392
Child Health Center,Manhattan,Harlem Hospital Center,,212-939-1000,40.81427522,-73.94060283
Acute Care Hospital,Bronx,Jacobi Medical Center,,718-918-5000,40.8573971,-73.8465712
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,40.71210324,-73.94399407
Child Health Center,Manhattan,Bellevue Hospital Center,,212-562-4141,40.73962321,-73.97657285
Child Health Center,Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,40.75163074,-73.88361255
Child Health Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,40.81090132,-73.91931316
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,40.57848832,-73.98949715
Child Health Center,Manhattan,Roberto Clemente Health Center,,212-387-7400,40.72930119,-73.97991663
Diagnostic & Treatment Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500 ,40.80933865,-73.94919748
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,40.6920534,-73.98241302
Child Health Center,Manhattan,Manhattanville/St. Nicholas Houses Child Health Care Center,between A.C. Powell & F. Douglas Blvds.,212-865-1300,40.811277,-73.94965776
Child Health Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,40.69514358,-73.97623557
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,40.7128414,-73.98759853
Acute Care Hospital,Brooklyn,Kings County Hospital Center,,718-245-3131,40.65576181,-73.94466262
Acute Care Hospital,Bronx,North Central Bronx Hospital,,718-519-5000,40.88046337,-73.88159288
Child Health Center,Queens,Queens Hospital Center,,718-883-3000,40.71311535,-73.792821
Child Health Center,Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,40.74519376,-73.90484714
Acute Care Hospital,Manhattan,Metropolitan Hospital Center,,212-423-6262,40.78455702,-73.94379565
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,40.67349222,-73.9357017
Child Health Center,Bronx,Lincoln  Medical &  Mental Health Center,,718-579-5000,40.81768848,-73.92420027
Child Health Center,Bronx,Melrose Houses Child Health Clinic,between Morris Ave. & Courtlandt Ave.,718-292-2820,40.82130119,-73.91770979
Child Health Center,Brooklyn,Greenpoint Community Health Center,,718-630-3220,40.72966561,-73.95404546
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,40.69036663,-73.95978266
Child Health Center,Manhattan,Grant Houses Clinic,,212-678-8420,40.81525566,-73.95843049
Child Health Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500,40.80933865,-73.94919748
Child Health Center,Brooklyn,Kings County Hospital Center,,718-245-3131,40.65576181,-73.94466262
Child Health Center,Manhattan,La Clinica Del Barrio,,212-410-7940,40.79820504,-73.93266795
Child Health Center,Brooklyn,Bushwick Community Health Center,,718-919-1200,40.68430357,-73.90908239
Diagnostic & Treatment Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,40.83590639,-73.92003404
Child Health Center,Bronx,Jacobi Medical Center,,718-918-5000,40.8573971,-73.8465712
Child Health Center,Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,40.70294964,-73.90543309
